accession	organism_name	assembly_level	number_of_contigs	contig_n50	number_of_scaffolds	scaffold_n50	total_ungapped_length	gc_percent	coverage	annotation_name	annotation_date	checkm_completeness	checkm_contamination	genome_notes	derived_from_metagenome	annotation_fails_MAG_check	assembly_accession	_is_refseq	_is_complete
GCF_002142475.1	{'infraspecific_names': {'strain': 'IAM M-101'}, 'organism_name': 'Leptolyngbya boryana IAM M-101', 'tax_id': 411966}	Complete Genome	4	6176364	4	6176364	6803468	47.0	24.0	GCF_002142475.1-RS_2025_12_03					0	0	GCF_002142475.1	True	True
GCF_022372495.1	{'infraspecific_names': {'strain': 'IU 594'}, 'organism_name': 'Leptolyngbya boryana IU 594', 'tax_id': 462680}	Complete Genome	4	6249019	4	6249019	7227162	47.0	390.0	GCF_022372495.1-RS_2025_12_04					0	0	GCF_022372495.1	True	True
GCF_002368255.1	{'infraspecific_names': {'strain': 'NIES-2135'}, 'organism_name': 'Leptolyngbya boryana NIES-2135', 'tax_id': 1973484}	Complete Genome	4	6255463	4	6255463	7233668	47.0	59.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002368255.1	True	True
GCF_977012465.1	{'infraspecific_names': {'isolate': 'SAMIN0022650-Novel oceanic cyanobacterium isolated from Bangaram island with profound acid neutralizing ability is proposed as Leptolyngbya iicbica sp. nov. strain LK'}, 'organism_name': 'Leptolyngbya iicbica', 'tax_id': 3161580}	Complete Genome	1	5813486	1	5813486	5813486	54.0	100.0	GCF_977012465.1-RS_2025_11_19					0	0	GCF_977012465.1	True	True
GCF_016403105.1	{'infraspecific_names': {'strain': 'BL0902'}, 'organism_name': 'Leptolyngbya sp. BL0902', 'tax_id': 1115757}	Complete Genome	6	4309234	6	4309234	4710209	57.5	360.0	GCF_016403105.1-RS_2025_01_08					0	0	GCF_016403105.1	True	True
GCF_047649235.1	{'infraspecific_names': {'strain': 'FACHB-1624'}, 'organism_name': 'Leptolyngbya sp. FACHB-1624', 'tax_id': 2692802}	Complete Genome	1	6500472	1	6500472	6500472	47.0	191.0	GCF_047649235.1-RS_2025_02_12					0	0	GCF_047649235.1	True	True
GCF_001548435.1	{'infraspecific_names': {'strain': 'NIES-3755'}, 'organism_name': 'Leptolyngbya sp. NIES-3755', 'tax_id': 1752064}	Complete Genome	4	6244812	4	6244812	6761657	46.5	51.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_001548435.1	True	True
GCF_032598965.1	{'infraspecific_names': {'strain': 'NK1-12'}, 'organism_name': 'Leptolyngbya sp. NK1-12', 'tax_id': 2547451}	Complete Genome	4	6598264	4	6598264	8295955	50.5	701.0	GCF_032598965.1-RS_2025_03_25					0	0	GCF_032598965.1	True	True
GCF_001548395.1	{'infraspecific_names': {'strain': 'O-77'}, 'organism_name': 'Leptolyngbya sp. O-77', 'tax_id': 1080068}	Complete Genome	1	5480261	1	5480261	5480261	56.0	25.0	GCF_001548395.1-RS_2025_01_08					0	0	GCF_001548395.1	True	True
GCF_019891175.1	{'infraspecific_names': {'strain': 'E412'}, 'organism_name': 'Leptothermofonsia sichuanensis E412', 'tax_id': 2016068}	Complete Genome	1	6426061	1	6426061	6426061	51.0	260.0	GCF_019891175.1-RS_2025_11_20					0	0	GCF_019891175.1	True	True
GCF_049200465.1	{'infraspecific_names': {'strain': 'ETS-13'}, 'organism_name': 'Leptothermofonsia sp. ETS-13', 'tax_id': 3035696}	Complete Genome	1	5554238	1	5554238	5554238	50.0	185.0	GCF_049200465.1-RS_2025_04_02					0	0	GCF_049200465.1	True	True
GCF_012516315.1	{'infraspecific_names': {'strain': 'SAG 85.79'}, 'organism_name': 'Limnospira fusiformis SAG 85.79', 'tax_id': 1521533}	Complete Genome	1	6423694	1	6423694	6423694	45.0	114.0	GCF_012516315.1-RS_2025_08_04					0	0	GCF_012516315.1	True	True
GCF_025200965.1	{'infraspecific_names': {'strain': 'C1'}, 'organism_name': 'Limnospira platensis C1', 'tax_id': 459495}	Complete Genome	1	6400479	1	6400479	6400479	45.0	65.0	GCF_025200965.1-RS_2025_08_18					0	0	GCF_025200965.1	True	True
GCF_026000695.1	{'infraspecific_names': {'strain': 'NIES-39'}, 'organism_name': 'Limnospira platensis NIES-39', 'tax_id': 696747}	Complete Genome	1	6818856	1	6818856	6818856	44.5	36.0	GCF_026000695.1-RS_2025_07_06					0	0	GCF_026000695.1	True	True
GCF_042465725.1	{'infraspecific_names': {'isolate': 'Neu2020_A'}, 'organism_name': 'Microcoleus anatoxicus', 'tax_id': 2705319}	Complete Genome	2	6658625	2	6658625	6775695	44.5	75.0	GCF_042465725.1-RS_2024_10_03					0	0	GCF_042465725.1	True	True
GCF_022701255.1	{'infraspecific_names': {'strain': 'HSN003'}, 'organism_name': 'Microcoleus vaginatus HSN003', 'tax_id': 2303329}	Complete Genome	1	6756317	1	6756317	6756317	46.0	115.0	GCF_022701255.1-RS_2025_09_13					0	0	GCF_022701255.1	True	True
GCF_022701275.1	{'infraspecific_names': {'strain': 'PCC9802'}, 'organism_name': 'Microcoleus vaginatus PCC 9802', 'tax_id': 669365}	Complete Genome	1	6698371	1	6698371	6698371	46.0	116.0	GCF_022701275.1-RS_2025_09_13					0	0	GCF_022701275.1	True	True
GCF_037094475.1	{'infraspecific_names': {'strain': 'PCC 9802'}, 'organism_name': 'Microcoleus vaginatus PCC 9802', 'tax_id': 669365}	Complete Genome	2	6698532	2	6698532	6720419	46.0	100.0	GCF_037094475.1-RS_2025_09_13					0	0	GCF_037094475.1	True	True
GCF_019704275.1	{'infraspecific_names': {'strain': 'NIES-88'}, 'organism_name': 'Microcystis aeruginosa', 'tax_id': 1126}	Complete Genome	3	5478552	3	5478552	5501105	42.5	87.0	GCF_019704275.1-RS_2025_09_26					0	0	GCF_019704275.1	True	True
GCF_038396575.1	{'infraspecific_names': {'strain': '1339'}, 'organism_name': 'Microcystis aeruginosa 1339', 'tax_id': 3113711}	Complete Genome	1	4749293	1	4749293	4749293	43.0	176.0	GCF_038396575.1-RS_2025_05_01					0	0	GCF_038396575.1	True	True
GCF_048593405.1	{'infraspecific_names': {'strain': 'FACHB-524'}, 'organism_name': 'Microcystis aeruginosa FACHB-524', 'tax_id': 2486203}	Complete Genome	5	4933804	5	4933804	5074437	42.5	196.0	GCF_048593405.1-RS_2025_03_18					0	0	GCF_048593405.1	True	True
GCF_021172085.1	{'infraspecific_names': {'strain': 'DIANCHI905'}, 'organism_name': 'Microcystis aeruginosa FACHB-905 = DIANCHI905', 'tax_id': 267865}	Complete Genome	1	5103104	1	5103104	5103104	42.0	430.11	GCF_021172085.1-RS_2025_03_19					0	0	GCF_021172085.1	True	True
GCF_050500255.1	{'infraspecific_names': {'strain': 'FBCC-A68'}, 'organism_name': 'Microcystis aeruginosa FBCC-A68', 'tax_id': 3079052}	Complete Genome	1	5864213	1	5864213	5864213	42.5		GCF_050500255.1-RS_2025_05_21					0	0	GCF_050500255.1	True	True
GCF_050711215.1	{'infraspecific_names': {'strain': 'FBCC-A68'}, 'organism_name': 'Microcystis aeruginosa FBCC-A68', 'tax_id': 3079052}	Complete Genome	1	5868208	1	5868208	5868208	42.5	72.0	GCF_050711215.1-RS_2025_06_04					0	0	GCF_050711215.1	True	True
GCF_009792235.1	{'infraspecific_names': {'strain': 'FD4'}, 'organism_name': 'Microcystis aeruginosa FD4', 'tax_id': 2686288}	Complete Genome	2	5449501	2	5449501	5493112	42.5	125.0	GCF_009792235.1-RS_2025_08_24					0	0	GCF_009792235.1	True	True
GCF_001704955.1	{'infraspecific_names': {'strain': 'NIES-2481'}, 'organism_name': 'Microcystis aeruginosa NIES-2481', 'tax_id': 1698524}	Complete Genome	1	4293006	1	4293006	4293006	43.0	114.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_001704955.1	True	True
GCF_001704955.2	{'infraspecific_names': {'strain': 'NIES-2481'}, 'organism_name': 'Microcystis aeruginosa NIES-2481', 'tax_id': 1698524}	Complete Genome	2	4293006	2	4293006	4440545	43.0	114.0	GCF_001704955.2-RS_2025_05_20					0	0	GCF_001704955.2	True	True
GCF_000981785.1	{'infraspecific_names': {'strain': 'NIES-2549'}, 'organism_name': 'Microcystis aeruginosa NIES-2549', 'tax_id': 1641812}	Complete Genome	1	4294213	1	4294213	4294213	43.0	123.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_000981785.1	True	True
GCF_000981785.2	{'infraspecific_names': {'strain': 'NIES-2549'}, 'organism_name': 'Microcystis aeruginosa NIES-2549', 'tax_id': 1641812}	Complete Genome	2	4294213	2	4294213	4301200	43.0	123.0	GCF_000981785.2-RS_2025_03_11					0	0	GCF_000981785.2	True	True
GCF_010196425.1	{'infraspecific_names': {'strain': 'NIES-298'}, 'organism_name': 'Microcystis aeruginosa NIES-298', 'tax_id': 449468}	Complete Genome	2	4997809	2	4997809	5015081	42.5	104.0	GCF_010196425.1-RS_2025_04_26					0	0	GCF_010196425.1	True	True
GCF_048820285.1	{'infraspecific_names': {'strain': 'NIES-298'}, 'organism_name': 'Microcystis aeruginosa NIES-298', 'tax_id': 449468}	Complete Genome	1	4952830	1	4952830	4952830	42.5	30.0	GCF_048820285.1-RS_2025_03_24					0	0	GCF_048820285.1	True	True
GCF_000010625.1	{'infraspecific_names': {'strain': 'NIES-843'}, 'organism_name': 'Microcystis aeruginosa NIES-843', 'tax_id': 449447}	Complete Genome	1	5842795	1	5842795	5842795	42.5		GCF_000010625.1-RS_2025_04_07					0	0	GCF_000010625.1	True	True
GCF_976987195.1	{'infraspecific_names': {'isolate': 'Water'}, 'organism_name': 'Microcystis aeruginosa NIES-843', 'tax_id': 449447}	Complete Genome	1	5478552	1	5478552	5478552	42.5	100.0	GCF_976987195.1-RS_2025_11_18					0	0	GCF_976987195.1	True	True
GCF_031754835.1	{'infraspecific_names': {'strain': 'NRERC-214'}, 'organism_name': 'Microcystis aeruginosa NRERC-214', 'tax_id': 2528657}	Complete Genome	1	4981678	1	4981678	4981678	43.0	99.0	GCF_031754835.1-RS_2024_11_06					0	0	GCF_031754835.1	True	True
GCF_030553035.1	{'infraspecific_names': {'strain': 'PCC 7806'}, 'organism_name': 'Microcystis aeruginosa PCC 7806', 'tax_id': 267872}	Complete Genome	1	5103923	1	5103923	5103923	42.0	39.0	GCF_030553035.1-RS_2025_08_17					0	0	GCF_030553035.1	True	True
GCF_041506625.1	{'infraspecific_names': {'strain': 'PCC 7806'}, 'organism_name': 'Microcystis aeruginosa PCC 7806', 'tax_id': 267872}	Complete Genome	1	5096229	1	5096229	5096229	42.0	40.92	GCF_041506625.1-RS_2024_08_28					0	0	GCF_041506625.1	True	True
GCF_002095975.1	{'infraspecific_names': {'strain': 'PCC 7806SL'}, 'organism_name': 'Microcystis aeruginosa PCC 7806SL', 'tax_id': 1903187}	Complete Genome	1	5139339	1	5139339	5139339	42.0	121.62	GCF_002095975.1-RS_2025_03_23					0	0	GCF_002095975.1	True	True
GCF_026222535.1	{'infraspecific_names': {'strain': 'Chao 1910'}, 'organism_name': 'Microcystis aeruginosa str. Chao 1910', 'tax_id': 2945101}	Complete Genome	1	5669822	1	5669822	5669822	42.5	73.0	GCF_026222535.1-RS_2025_02_22					0	0	GCF_026222535.1	True	True
GCF_050500245.1	{'infraspecific_names': {'strain': 'FBCC-A1114'}, 'organism_name': 'Microcystis ichthyoblabe FBCC-A1114', 'tax_id': 3422495}	Complete Genome	1	4916250	1	4916250	4916250	42.5		GCF_050500245.1-RS_2025_05_21					0	0	GCF_050500245.1	True	True
GCF_001264245.1	{'infraspecific_names': {'strain': 'FACHB-1757'}, 'organism_name': 'Microcystis panniformis FACHB-1757', 'tax_id': 1638788}	Complete Genome	1	5686839	1	5686839	5686839	42.5	43.39	GCF_001264245.1-RS_2025_08_18					0	0	GCF_001264245.1	True	True
GCF_050500235.1	{'infraspecific_names': {'strain': 'FBCC-A270'}, 'organism_name': 'Microcystis protocystis FBCC-A270', 'tax_id': 3422496}	Complete Genome	1	4917921	1	4917921	4917921	42.5		GCF_050500235.1-RS_2025_05_21					0	0	GCF_050500235.1	True	True
GCF_003019735.1	{'infraspecific_names': {'strain': 'MC19'}, 'organism_name': 'Microcystis sp. MC19', 'tax_id': 1967666}	Complete Genome	1	5020243	1	5020243	5020243	42.5	156.0	GCF_003019735.1-RS_2024_08_24					0	0	GCF_003019735.1	True	True
GCF_003945305.1	{'infraspecific_names': {'strain': 'NIES-102'}, 'organism_name': 'Microcystis viridis NIES-102', 'tax_id': 213615}	Complete Genome	1	5874197	1	5874197	5874197	42.5	162.0	GCF_003945305.1-RS_2025_03_16					0	0	GCF_003945305.1	True	True
GCF_001854205.2	{'infraspecific_names': {'strain': 'JHB'}, 'organism_name': 'Moorena producens JHB', 'tax_id': 1454205}	Complete Genome	3	9648523	3	9648523	9659941	43.5	20.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_001854205.2	True	True
GCF_001767235.1	{'infraspecific_names': {'strain': 'PAL-8-15-08-1'}, 'organism_name': 'Moorena producens PAL-8-15-08-1', 'tax_id': 1458985}	Complete Genome	2	9673108	2	9673108	9708656	43.5	98.0	GCF_001767235.1-RS_2025_03_09					0	0	GCF_001767235.1	True	True
GCF_022376295.1	{'infraspecific_names': {'strain': 'UHCC 0038'}, 'organism_name': 'Nodularia sphaerocarpa UHCC 0038', 'tax_id': 2761619}	Complete Genome	1	5451672	1	5451672	5451672	41.5	77.0	GCF_022376295.1-RS_2025_03_28					0	0	GCF_022376295.1	True	True
GCF_003054475.1	{'infraspecific_names': {'strain': 'UHCC 0039'}, 'organism_name': 'Nodularia spumigena UHCC 0039', 'tax_id': 1914872}	Complete Genome	2	5294286	2	5294286	5386612	41.0	145.0	GCF_003054475.1-RS_2025_05_21					0	0	GCF_003054475.1	True	True
GCF_023734775.1	{'infraspecific_names': {'strain': 'SO-36'}, 'organism_name': 'Nostoc cf. commune SO-36', 'tax_id': 449208}	Complete Genome	5	6802717	5	6802717	7408262	41.5	50.0	GCF_023734775.1-RS_2026_01_02					0	0	GCF_023734775.1	True	True
GCF_014023275.1	{'infraspecific_names': {'strain': 'CCNP1411'}, 'organism_name': 'Nostoc edaphicum CCNP1411', 'tax_id': 1472755}	Complete Genome	6	7733505	6	7733505	8316316	41.5	163.6	GCF_014023275.1-RS_2025_03_28					0	0	GCF_014023275.1	True	True
GCF_002813575.1	{'infraspecific_names': {'strain': 'CCNUN1'}, 'organism_name': 'Nostoc flagelliforme CCNUN1', 'tax_id': 2038116}	Complete Genome	9	8363872	9	8363872	10231233	42.0	228.0	GCF_002813575.1-RS_2025_11_23					0	0	GCF_002813575.1	True	True
GCF_000020025.1	{'infraspecific_names': {'strain': 'ATCC 29133; PCC 73102'}, 'organism_name': 'Nostoc punctiforme PCC 73102', 'tax_id': 63737}	Complete Genome	6	8234322	6	8234322	9059191	41.5		GCF_000020025.1-RS_2025_03_15					0	0	GCF_000020025.1	True	True
GCF_002949795.1	"{'infraspecific_names': {'strain': '5183'}, 'organism_name': ""Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'"", 'tax_id': 1618022}"	Complete Genome	5	7061466	5	7061466	7339908	41.5	40.0	GCF_002949795.1-RS_2025_08_25					0	0	GCF_002949795.1	True	True
GCF_002949735.1	"{'infraspecific_names': {'strain': 'N6'}, 'organism_name': ""Nostoc sp. 'Peltigera membranacea cyanobiont' N6"", 'tax_id': 1261031}"	Complete Genome	11	8214648	11	8214648	8898590	41.5	100.0	GCF_002949735.1-RS_2025_08_25					0	0	GCF_002949735.1	True	True
GCF_009873495.1	{'infraspecific_names': {'strain': 'ATCC 53789'}, 'organism_name': 'Nostoc sp. ATCC 53789', 'tax_id': 76335}	Complete Genome	13	7340101	13	7340101	8653730	41.5	38.0	GCF_009873495.1-RS_2024_06_03					0	0	GCF_009873495.1	True	True
GCF_013393905.1	{'infraspecific_names': {'strain': 'C052'}, 'organism_name': 'Nostoc sp. C052', 'tax_id': 2576902}	Complete Genome	9	7828336	9	7828336	9879831	41.5	84.0	GCF_013393905.1-RS_2024_08_31					0	0	GCF_013393905.1	True	True
GCF_013393925.1	{'infraspecific_names': {'strain': 'C057'}, 'organism_name': 'Nostoc sp. C057', 'tax_id': 2576903}	Complete Genome	16	7495445	16	7495445	9234448	41.5	20.0	GCF_013393925.1-RS_2024_08_31					0	0	GCF_013393925.1	True	True
GCF_043099725.1	{'infraspecific_names': {'strain': 'C110'}, 'organism_name': 'Nostoc sp. C110', 'tax_id': 3349876}	Complete Genome	12	7175855	12	7175855	8366001	41.5	34.8	GCF_043099725.1-RS_2024_10_15					0	0	GCF_043099725.1	True	True
GCF_043099735.1	{'infraspecific_names': {'strain': 'C117'}, 'organism_name': 'Nostoc sp. C117', 'tax_id': 3349875}	Complete Genome	5	7883191	5	7883191	8449107	41.0	53.8	GCF_043099735.1-RS_2024_10_15					0	0	GCF_043099735.1	True	True
GCF_002896875.1	{'infraspecific_names': {'strain': 'CENA543'}, 'organism_name': 'Nostoc sp. CENA543', 'tax_id': 1869241}	Complete Genome	6	6990729	6	6990729	7207640	41.0	170.0	GCF_002896875.1-RS_2024_09_15					0	0	GCF_002896875.1	True	True
GCF_052692665.1	{'infraspecific_names': {'strain': 'DSM 114161'}, 'organism_name': 'Nostoc sp. DSM 114161', 'tax_id': 3440143}	Complete Genome	1	8680294	1	8680294	8680294	41.5	33.0	GCF_052692665.1-RS_2025_09_18					0	0	GCF_052692665.1	True	True
GCF_052692655.1	{'infraspecific_names': {'strain': 'DSM 114167'}, 'organism_name': 'Nostoc sp. DSM 114167', 'tax_id': 3439050}	Complete Genome	1	8475087	1	8475087	8475087	41.5	427.0	GCF_052692655.1-RS_2025_09_18					0	0	GCF_052692655.1	True	True
GCF_019976755.1	{'infraspecific_names': {'strain': 'MS1'}, 'organism_name': 'Nostoc sp. MS1', 'tax_id': 2764711}	Complete Genome	6	7141037	6	7141037	7901148	40.5	97.0	GCF_019976755.1-RS_2025_01_19					0	0	GCF_019976755.1	True	True
GCF_001548375.1	{'infraspecific_names': {'strain': 'NIES-3756'}, 'organism_name': 'Nostoc sp. NIES-3756', 'tax_id': 1751286}	Complete Genome	3	6463965	3	6463965	6987571	40.5	60.0	GCF_001548375.1-RS_2025_09_14					0	0	GCF_001548375.1	True	True
GCF_000316625.1	{'infraspecific_names': {'strain': 'PCC 7107'}, 'organism_name': 'Nostoc sp. PCC 7107', 'tax_id': 317936}	Complete Genome	1	6329823	1	6329823	6329823	40.5	30.0	GCF_000316625.1-RS_2024_07_22					0	0	GCF_000316625.1	True	True
GCF_000009705.1	{'infraspecific_names': {'strain': 'PCC 7120'}, 'organism_name': 'Nostoc sp. PCC 7120 = FACHB-418', 'tax_id': 103690}	Complete Genome	7	6413771	7	6413771	7211789	41.5		GCF_000009705.1-RS_2025_02_24					0	0	GCF_000009705.1	True	True
GCF_000316645.1	{'infraspecific_names': {'strain': 'PCC 7524'}, 'organism_name': 'Nostoc sp. PCC 7524', 'tax_id': 28072}	Complete Genome	3	6635030	3	6635030	6718869	41.5	30.0	GCF_000316645.1-RS_2025_08_24					0	0	GCF_000316645.1	True	True
GCF_013343235.1	{'infraspecific_names': {'isolate': 'TCL240-02'}, 'organism_name': 'Nostoc sp. TCL240-02', 'tax_id': 2572090}	Complete Genome	1	7887247	1	7887247	7887247	41.5	58.0	GCF_013343235.1-RS_2024_07_27					0	0	GCF_013343235.1	True	True
GCF_013393945.1	{'infraspecific_names': {'strain': 'TCL26-01'}, 'organism_name': 'Nostoc sp. TCL26-01', 'tax_id': 2576904}	Complete Genome	8	6765102	8	6765102	7387676	41.0	42.0	GCF_013393945.1-RS_2024_08_31					0	0	GCF_013393945.1	True	True
GCF_038096175.1	{'infraspecific_names': {'strain': 'UHCC 0302'}, 'organism_name': 'Nostoc sp. UHCC 0302', 'tax_id': 3134896}	Complete Genome	9	8388664	9	8388664	9587056	41.0	65.0	GCF_038096175.1-RS_2024_05_06					0	0	GCF_038096175.1	True	True
GCF_017164015.1	{'infraspecific_names': {'strain': 'UHCC 0702'}, 'organism_name': 'Nostoc sp. UHCC 0702', 'tax_id': 2814655}	Complete Genome	1	8587404	1	8587404	8587404	41.5	136.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_017164015.1	True	True
GCF_022063185.1	{'infraspecific_names': {'strain': 'UHCC 0870'}, 'organism_name': 'Nostoc sp. UHCC 0870', 'tax_id': 2914041}	Complete Genome	12	6421060	12	6421060	7172241	41.0	94.5	GCF_022063185.1-RS_2025_08_25					0	0	GCF_022063185.1	True	True
GCF_028623165.1	{'infraspecific_names': {'strain': 'UHCC 0926'}, 'organism_name': 'Nostoc sp. UHCC 0926', 'tax_id': 3025190}	Complete Genome	7	6618685	7	6618685	8314159	42.0	23.58	GCF_028623165.1-RS_2025_08_27					0	0	GCF_028623165.1	True	True
GCF_003443655.1	{'infraspecific_names': {'strain': 'Kutzing En'}, 'organism_name': 'Nostoc sphaeroides', 'tax_id': 446679}	Complete Genome	5	6531820	5	6531820	6684490	41.5	168.0	GCF_003443655.1-RS_2025_03_29					0	0	GCF_003443655.1	True	True
GCF_009372195.1	{'infraspecific_names': {'isolate': 'CCNUC1'}, 'organism_name': 'Nostoc sphaeroides CCNUC1', 'tax_id': 2653204}	Complete Genome	9	6481972	9	6481972	9516388	41.5	191.0	GCF_009372195.1-RS_2025_03_28					0	0	GCF_009372195.1	True	True
GCF_002163975.1	{'infraspecific_names': {'strain': 'HT-58-2'}, 'organism_name': 'Nostocales cyanobacterium HT-58-2', 'tax_id': 1940762}	Complete Genome	3	7846907	3	7846907	7899568	42.5	1140.0	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)					0	0	GCF_002163975.1	True	True
GCF_038050375.1	{'infraspecific_names': {'strain': 'TIOX110'}, 'organism_name': 'Okeanomitos corallinicola TIOX110', 'tax_id': 3133117}	Complete Genome	2	5144906	2	5144906	5323117	37.0	958.0	GCF_038050375.1-RS_2024_07_05					0	0	GCF_038050375.1	True	True
GCF_000317105.1	{'infraspecific_names': {'strain': 'PCC 6304'}, 'organism_name': 'Oxynema acuminatum PCC 6304', 'tax_id': 56110}	Complete Genome	3	7689443	3	7689443	7804270	47.5	30.0	GCF_000317105.1-RS_2025_06_07					0	0	GCF_000317105.1	True	True
GCF_012295525.1	{'infraspecific_names': {'strain': 'AP17'}, 'organism_name': 'Oxynema aestuarii AP17', 'tax_id': 2064643}	Complete Genome	1	6357750	1	6357750	6357750	51.5	795.0	GCF_012295525.1-RS_2025_09_22					0	0	GCF_012295525.1	True	True
GCF_000195975.1	{'infraspecific_names': {'strain': 'WH 8102'}, 'organism_name': 'Parasynechococcus marenigrum WH 8102', 'tax_id': 84588}	Complete Genome	1	2434428	1	2434428	2434428	59.5		GCF_000195975.1-RS_2025_11_23					0	0	GCF_000195975.1	True	True
GCF_002754935.1	{'infraspecific_names': {'strain': 'PCC 6715'}, 'organism_name': 'Parathermosynechococcus lividus PCC 6715', 'tax_id': 1917166}	Complete Genome	1	2659739	1	2659739	2659739	53.5	920.0	GCF_002754935.1-RS_2025_12_04					0	0	GCF_002754935.1	True	True
GCF_000317475.1	{'infraspecific_names': {'strain': 'PCC 7112'}, 'organism_name': 'Phormidium nigroviride PCC 7112', 'tax_id': 179408}	Complete Genome	6	7479014	6	7479014	8272254	46.0	30.0	GCF_000317475.1-RS_2025_09_21					0	0	GCF_000317475.1	True	True
GCF_023983615.1	{'infraspecific_names': {'strain': 'AB48'}, 'organism_name': 'Phormidium yuhuli AB48', 'tax_id': 2940671}	Complete Genome	2	4747469	2	4747469	4799068	51.5	170.0	GCF_023983615.1-RS_2025_09_12					0	0	GCF_023983615.1	True	True
GCF_000019485.1	{'infraspecific_names': {'strain': 'PCC 7002'}, 'organism_name': 'Picosynechococcus sp. PCC 7002', 'tax_id': 32049}	Complete Genome	7	3008047	7	3008047	3409935	49.0		GCF_000019485.1-RS_2024_11_05					0	0	GCF_000019485.1	True	True
GCF_001693255.1	{'infraspecific_names': {'strain': 'PCC 7003'}, 'organism_name': 'Picosynechococcus sp. PCC 7003', 'tax_id': 374981}	Complete Genome	3	3057091	3	3057091	3345085	49.5	20.0	GCF_001693255.1-RS_2024_11_06					0	0	GCF_001693255.1	True	True
GCF_001693275.1	{'infraspecific_names': {'strain': 'PCC 7117'}, 'organism_name': 'Picosynechococcus sp. PCC 7117', 'tax_id': 195498}	Complete Genome	6	3087720	6	3087720	3432101	49.0	20.0	GCF_001693275.1-RS_2024_11_06					0	0	GCF_001693275.1	True	True
GCF_001521855.1	{'infraspecific_names': {'strain': 'PCC 73109'}, 'organism_name': 'Picosynechococcus sp. PCC 73109', 'tax_id': 374982}	Complete Genome	6	3025472	6	3025472	3298676	49.5	20.0	GCF_001521855.1-RS_2024_11_05					0	0	GCF_001521855.1	True	True
GCF_001693295.1	{'infraspecific_names': {'strain': 'PCC 8807'}, 'organism_name': 'Picosynechococcus sp. PCC 8807', 'tax_id': 195248}	Complete Genome	7	3059495	7	3059495	3304088	49.5	20.0	GCF_001693295.1-RS_2024_11_06					0	0	GCF_001693295.1	True	True
GCF_040564635.1	{'infraspecific_names': {'strain': 'GIHE-MW2'}, 'organism_name': 'Planktothricoides raciborskii GIHE-MW2', 'tax_id': 2792601}	Complete Genome	1	7215835	1	7215835	7215835	43.5	223.0	GCF_040564635.1-RS_2024_09_22					0	0	GCF_040564635.1	True	True
GCF_904830935.1	{'infraspecific_names': {'strain': 'No.976'}, 'organism_name': 'Planktothrix agardhii', 'tax_id': 1160}	Complete Genome	6	4748184	6	4748184	4904228	39.5	389.0	GCF_904830935.1-RS_2025_05_21					0	0	GCF_904830935.1	True	True
GCF_904830765.1	{'infraspecific_names': {'strain': 'NIVA-CYA126/8'}, 'organism_name': 'Planktothrix agardhii', 'tax_id': 1160}	Complete Genome	4	4838015	4	4838015	5099909	39.5	92.0	GCF_904830765.1-RS_2025_07_21					0	0	GCF_904830765.1	True	True
GCF_904830775.1	{'infraspecific_names': {'strain': 'No.2A'}, 'organism_name': 'Planktothrix agardhii', 'tax_id': 1160}	Complete Genome	3	4724555	3	4724555	4794075	39.5	455.0	GCF_904830775.1-RS_2025_07_18					0	0	GCF_904830775.1	True	True
GCF_904830845.1	{'infraspecific_names': {'strain': 'No.365'}, 'organism_name': 'Planktothrix agardhii', 'tax_id': 1160}	Complete Genome	5	4711865	5	4711865	4974996	39.5	245.0	GCF_904830845.1-RS_2025_07_18					0	0	GCF_904830845.1	True	True
GCF_904830855.1	{'infraspecific_names': {'strain': 'No.66'}, 'organism_name': 'Planktothrix agardhii', 'tax_id': 1160}	Complete Genome	4	4738828	4	4738828	4947677	39.5	87.0	GCF_904830855.1-RS_2025_07_18					0	0	GCF_904830855.1	True	True
GCF_904830915.1	{'infraspecific_names': {'strain': 'PCC7805'}, 'organism_name': 'Planktothrix agardhii', 'tax_id': 1160}	Complete Genome	2	4750937	2	4750937	4903948	39.5	113.0	GCF_904830915.1-RS_2025_07_18					0	0	GCF_904830915.1	True	True
GCF_904830925.1	{'infraspecific_names': {'strain': 'No.713'}, 'organism_name': 'Planktothrix pseudagardhii', 'tax_id': 132604}	Complete Genome	2	6601744	2	6601744	6654737	39.5	431.0	GCF_904830925.1-RS_2025_08_03					0	0	GCF_904830925.1	True	True
GCF_963665995.1	{'infraspecific_names': {'isolate': '44838'}, 'organism_name': 'Pleurocapsa sp. FMAR1', 'tax_id': 3040204}	Complete Genome	1	5429540	1	5429540	5429540	39.0	202.0	GCF_963665995.1-RS_2025_01_30					0	0	GCF_963665995.1	True	True
